case_material,band_material,case_back,bezel_material,brand,gender,movement,watch_style,case_thickness,crystal,hands,dial_markers,case_diameter,water_resistance,price_segment
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Armand Nicolet,MENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,43.0,100.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel set with 54 Diamonds,Cartier,WOMENS,Automatic,Luxury,12.0,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Roman Numeral,36.0,30.0,2
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Dress,3.0,Scratch Resistant Mineral,Luminous Gold-tone,Crystal,26.0,30.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Seiko,MENS,Quartz,Casual,8.5,Scratch Resistant Sapphire,Silver-tone,Index,38.0,100.0,0
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Citizen,MENS,Automatic,Casual,11.7,Scratch Resistant Sapphire,Silver-tone,Index,40.0,50.0,0
Stainless Steel,(Alligator) Leather,Transparent,Stainless Steel,Breitling,MENS,Automatic,Pilot,13.97,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,43.0,100.0,1
Stainless Steel,Stainless Steel and 18kt Everose Gold Rolex Oyster,Solid,18kt Everose Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Diamond,28.0,100.0,2
Stainless Steel,Rubber,Transparent,Stainless Steel,Revue Thommen,MENS,Automatic,Casual,13.0,Scratch Resistant Sapphire,Silver-tone,Index,43.0,100.0,0
Stainless Steel,Stainless Steel,Skeleton Transparent Exhibition See Through,Stainless Steel,Carl F. Bucherer,MENS,Automatic,Luxury,15.5,Scratch Resistant Sapphire,Silver-tone,Index,46.0,50.0,1
Stainless Steel,Crocodile Leather,Exhibition,Stainless Steel,Blancpain,MENS,Automatic,Luxury,14.0,Scratch Resistant Sapphire,Skeleton,Arabic Numeral,40.0,100.0,2
Stainless Steel,Silicone,Skeleton,Stainless Steel,Invicta,MENS,Automatic,Casual,15.0,Scratch Resistant Mineral,Luminous Silver-tone,Dot,48.0,100.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,8.5,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,35.0,50.0,0
Stainless Steel,Stainless Steel and 18kt Everose Gold Jubilee,Solid,18kt Everose Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Everose Gold,Roman Numeral,31.0,100.0,2
Platinum (Diamond-Set),Platinum Rolex President,Solid,Platinum,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver tone,Diamond,36.0,100.0,3
Stainless Steel,Stainless Steel and 18kt Rose Gold,Solid,Stainless Steel,Longines,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,20.0,30.0,1
Stainless Steel,Stainless Steel Rolex Oyster,Solid,Stainless Steel,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,31.0,100.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Seiko,WOMENS,Automatic,Casual,10.0,Scratch Resistant Hardlex,Luminous Yellow Gold-tone,Index,24.0,30.0,0
18kt Rose Gold,Alligator Leather,Screw In,Diamond Set,Blancpain,WOMENS,Automatic,Luxury,11.4,Scratch Resistant Sapphire,Gold-toned Leaf-style shape,Diamond,34.0,30.0,2
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Cartier,MENS,Automatic,Luxury,10.73,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Black Roman Numeral,40.0,94.38815128863104,1
18kt White Gold,Alligator Leather Lined with Alzavel,Solid,18kt White Gold,Blancpain,MENS,Hand Wind,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone Leaf-style shape,Roman Numeral,43.0,30.0,3
Stainless Steel,Polyurethane with Gold-tone Inserts,Solid,Stainless Steel with a Blue Aluminium Top Ring,Invicta,MENS,Quartz,Casual,16.5,Flame Fusion,Gold-tone Skeleton Sword-shaped,Dot,48.0,100.0,0
Stainless Steel,Rubber,Solid,Stainless Steel,Revue Thommen,MENS,Automatic,Luxury,13.0,Scratch Resistant Sapphire,Orange,Index,42.0,300.0,0
18 ct Everose Gold,18 ct Everose Gold Rolex Oyster,Solid,18 ct Everose Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Everose Gold,Diamonds,31.0,100.0,3
Stainless Steel,Stainless Steel with 18kt Everose Gold Rolex Oyste,Solid,Everose Gold set with Diamonds,Rolex,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Everose Gold,Diamond,36.0,100.0,3
Stainless Steel,Stainless Steel,Exhibition,Stainless Steel,Longines,MENS,Automatic,Luxury,9.5,Scratch Resistant Sapphire,Silver-tone,Diamond,38.0,30.0,1
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Gevril,MENS,Automatic,Luxury,12.5,Scratch Resistant Sapphire,Silver-tone,Roman Numeral & Index,40.0,100.0,1
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Audemars Piguet,MENS,Automatic,Luxury,12.4,Scratch Resistant Sapphire,Silver-tone,Index,41.0,50.0,3
18kt Everose Gold,18kt Everose Gold Rolex Oyster,Solid,18kt Everose Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold,Index,40.0,100.0,4
Stainless Steel,Rubber,Screw Down,Stainless Steel,Bell And Ross,MENS,Automatic,Luxury,11.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,40.0,100.0,1
Stainless Steel,Stainless Steel,Solid,Diamond Set Stainless Steel,Tag Heuer,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral & Index,38.0,30.0,1
Ceramic,Rubber,Solid,Ceramic,Bell And Ross,MENS,Automatic,Dress,9.8,Scratch Resistant Sapphire,Black,Index,42.0,100.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,MENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,41.0,300.0,0
Stainless Steel,(Crocodile) Leather,Solid,Stainless Steel,Chopard,WOMENS,Quartz,Sport,11.5,Scratch Resistant Sapphire,Silver-tone,Stick,35.0,30.0,1
Stainless Steel,Leather,Transparent,Stainless Steel,Stuhrling Original,MENS,Automatic,Dress,14.0,Scratch Resistant Mineral,Blue,Roman Numeral,42.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Crystal Set,Citizen,WOMENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Gold-tone,Index-Arabic Numeral,31.0,50.0,0
18kt Yellow Gold,18kt Yellow Gold,Solid,18kt Yellow Gold,Chopard,WOMENS,Quartz,Luxury,8.0,Scratch Resistant Sapphire,Yellow Gold-tone,Roman & Index,27.0,30.0,2
Stainless Steel,Stainless Steel,Solid,Stainless Steel with an inlaid Orange Ring,Nautis,MENS,Quartz,Casual,16.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,45.0,50.0,0
Stainless Steel,Leather,Solid,18kt Rose Gold,Omega,MENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Grey,Alternating Roman Numeral and Cabochon,39.0,30.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Black and Blue (Batman) Ring,Carl F. Bucherer,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,44.0,500.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Breitling,WOMENS,Quartz,Casual,8.0,Scratch Resistant Sapphire,Silver-tone,Diamond,32.0,50.0,1
Stainless Steel,Leather,Transparent,Stainless Steel,Empress,WOMENS,Automatic,Dress,13.0,Scratch Resistant Mineral,Luminous Blue,Index,38.0,50.0,0
Stainless Steel,Rubber,Transparent See Through,Ceramic,Hublot,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Blue,Index-Arabic Numeral,42.0,100.0,2
Stainless steel,Leather,Solid,Stainless steel,Rudiger,MENS,Quartz,Casual,11.0,Scratch Resistant Mineral,Black,Roman Numeral,42.0,50.0,0
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Patek Philippe,MENS,Automatic,Luxury,8.3,Scratch Resistant Sapphire,Silver-tone,Index,45.0,30.0,4
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,MENS,Quartz,Casual,5.0,Scratch Resistant Sapphire,Silver-tone,Index,42.0,50.0,0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Gevril,MENS,Automatic,Luxury,13.0,Scratch Resistant Sapphire,Silver-tone,Index,43.0,200.0,1
Stainless Steel,Genuine Leather,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,9.5,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,30.0,50.0,0
18Kt Rose Gold,Leather,Transparent Sapphire,18kt Rose Gold,Piaget,MENS,Hand Wind,Luxury,11.7,Scratch Resistant Sapphire,Black,Index,43.0,30.0,2
Stainless Steel,Stainless Steel Jubilee,Solid,18k White Gold,Rolex,UNISEX,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,36.0,100.0,2
Alloy,Leather,Solid,Alloy,Simplify,UNISEX,Quartz,Casual,8.0,Scratch Resistant Mineral,Silver-tone,Index / Arabic Numeral,39.0,30.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Yellow Gold-tone,Index,32.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Hamilton,MENS,Automatic,Sport,12.0,Scratch Resistant Sapphire,Silver-tone Alpha-style,Roman Numeral,40.0,50.0,0
316L Stainless Steel,Leather,Solid,Stainless Steel,Tissot,WOMENS,Quartz,Casual,8.4,Scratch Resistant Mineral,Black,Arabic Numeral,22.0,30.0,0
Stainless Steel,Crocodile Leather,Transparent,Stainless Steel,Breitling,MENS,Automatic,Travel,14.55,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,43.0,100.0,1
Stainless Steel,Stainless Steel Jubilee,Screw-down,Stainless Steel,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,18k Gold Index,36.0,100.0,2
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,12.0,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,36.0,50.0,0
Alloy,Leather,Solid,Alloy,August Steiner,MENS,Quartz,Casual,9.0,Sapphire-Coated Mineral,Black,Index,44.0,30.0,0
Stainless Steel,Stainless Steel,Transparent See Through,Diamond Set Stainless Steel,Tag Heuer,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,29.0,100.0,1
Stainless Steel,Leather,Screw Down,Stainless Steel set with Crystals,Akribos Xxiv,MENS,Quartz,Casual,11.0,Mineral with Sapphire Coating,Luminous Rose Gold-tone,Index,40.0,30.0,0
Composite Metal,Leather,Solid,Composite Metal set with Crystals,August Steiner,MENS,Quartz,Fashion,7.0,Scratch Resistant Mineral,Rose Gold-tone,Index,41.0,30.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,8.5,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,35.0,50.0,0
Stainless Steel 316L,Stainless Steel 316L,Solid,Stainless Steel et with Crystals,Mathey-Tissot,MENS,Quartz,Fashion,5.0,Scratch Resistant Mineral,Rose Gold-tone,Index,42.0,50.0,0
Platinum,Platinum Rolex President,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver tone,Diamond,26.0,100.0,3
Stainless Steel,Silicone,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,11.9,Flame Fusion,Silver-tone,Index,45.0,50.0,0
18kt Rose Gold,Leather,Solid,Diamond Set 18kt Rose Gold,Cartier,WOMENS,Automatic,Luxury,8.83,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Roman Numeral,25.0,100.0,3
Stainless steel,Leather,Solid,Stainless steel,Rebel,WOMENS,Quartz,Casual,12.0,Mineral w/ Sapphire Coating,Gold-tone,Arabic Numeral and Index,40.0,50.0,0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Longines,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Blue,Arabic Numeral,42.0,30.0,1
Stainless Steel,(Alligator) Leather,Transparent,Stainless Steel,Glashutte Original,MENS,Automatic,Luxury,9.4,Scratch Resistant Sapphire,Luminous Silver-tone,Index,39.0,30.0,1
Plastic,Silicone,Solid,Plastic,Swatch,UNISEX,Quartz,Casual,9.85,Plexiglass,White,Index,41.0,30.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,MENS,Quartz,Dress,5.0,Scratch Resistant Mineral,Yellow Gold-tone,Crystal,40.0,30.0,0
18kt Rose Gold,(Alligator) Leather,Transparent,18kt Rose Gold,Panerai,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Rose Gold,Index,42.0,100.0,2
Stainless Steel,Stainless Steel Mesh,Solid,Stainless Steel with a Black Ceramic Ring,Breitling,MENS,Automatic,Luxury,15.65,Scratch Resistant Sapphire,Luminous Silver-tone Arrow-shaped,Index,44.0,200.0,1
18kt Everose Gold,18kt Everose Gold Rolex Oyster,Solid,18kt Everose Gold showing Tachymeter Markings,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,40.0,100.0,3
Stainless Steel,(Calfskin) Leather,Solid,18kt Rose Gold,Bell And Ross,MENS,Automatic,Dress,11.5,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,42.0,100.0,1
Stainless steel,Leather,Solid,Stainless steel,Rudiger,MENS,Quartz,Casual,11.5,Scratch Resistant Mineral,Silver-tone,Index,42.0,50.0,0
Ceramic,Rubber,Solid,Ceramic,Bell And Ross,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,Luminous Black,Dot,42.0,300.0,1
Stainless Steel,Leather,Solid,Stainless Steel set with Crystals,Technomarine,WOMENS,Quartz,Sport,13.65,Scratch Resistant Mineral,Luminous Gold-tone,Index,40.0,200.0,0
18kt Pink Gold,Rubber,Solid,18kt Pink Gold,Jaeger LeCoultre,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous,Arabic Numeral and Index,46.0,30.0,3
Stainless Steel,Leather,Screw Down,Stainless Steel,Akribos Xxiv,MENS,Quartz,Casual,13.0,Mineral with Sapphire coating,Luminous Silver-tone,Index,42.0,50.0,0
Stainless Steel,Leather (Faux Alligator),Transparent See Through,Stainless Steel,Armand Nicolet,MENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,43.0,100.0,0
Stainless Steel,(Alligator) Leather,Transparent,Stainless Steel,Longines,MENS,Automatic,Dress,10.7,Scratch Resistant Sapphire,Silver-tone,Alternating Index and Arabic Numeral,38.0,30.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Luminous Silver-tone,Index,39.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Tudor,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Index,31.0,100.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,WOMENS,Quartz,Casual,7.5,Scratch Resistant Hardlex,Luminous Yellow Gold-tone Dauphine-style,Index,28.0,50.0,0
Stainless Steel,Rubber,Solid,Ceramic,Longines,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,39.0,300.0,1
Stainless Steel,Leather,Transparent,Stainless Steel,Hamilton,WOMENS,Automatic,Casual,10.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,36.0,50.0,0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Revue Thommen,MENS,Automatic,Dive,12.65,Scratch Resistant Sapphire,Silver-tone,Index,42.0,300.0,0
Stainless Steel,Leather,Transparent,Stainless Steel,Blancpain,WOMENS,Automatic,Luxury,9.0,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,29.0,30.0,1
Stainless Steel,Rubber,Transparent See Through,Stainless Steel,Baume Et Mercier,MENS,Automatic,Casual,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral & Index,42.0,100.0,1
Stainless Steel,Leather,Solid,Stainless Steel,Gevril,WOMENS,Quartz,Luxury,7.5,Scratch Resistant Sapphire,Silver-tone,Diamond,36.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,11.196182331158523,Flame Fusion,Silver-tone,Index,47.0,100.0,0
Stainless Steel,(Alligator) Leather,Solid,Stainless Steel,Jaeger LeCoultre,WOMENS,Quartz,Luxury,8.7,Scratch Resistant Sapphire,Blue,Arabic Numeral,33.0,30.0,1
Stainless Steel,Rubber,Transparent,Stainless Steel showing Tachymeter Markings,Chopard,MENS,Automatic,Luxury,15.18,Scratch Resistant Sapphire,Black,Index,45.0,100.0,1
Base Metal,Metal,Solid,Base Metal,Akribos Xxiv,WOMENS,Quartz,Casual,12.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,43.0,10.0,0
Stainless Steel,Rubber,Solid,Stainless Steel,Panerai,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,44.0,100.0,2
Stainless Steel,Leather,Screw Down,Stainless Steel,Akribos Xxiv,MENS,Quartz,Casual,14.5,Mineral with Sapphire coating,Luminous Silver-tone,Arabic Numeral,46.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Invicta,MENS,Automatic,Dive,17.0,Flame Fusion,Rose Gold-tone Arrow-shaped,Dot,47.0,300.0,0
Stainless Steel,Leather,Transparent,Stainless Steel,Mido,MENS,Automatic,Casual,11.95,Scratch Resistant Sapphire,Luminous Silver-tone,Index,40.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Diamond Set,Jaeger LeCoultre,WOMENS,Automatic,Luxury,11.75,Scratch Resistant Sapphire,Silver-tone,Arabic,28.0,50.0,2
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Versace,WOMENS,Quartz,Casual,10.0,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index / Roman Numeral,35.0,30.0,0
Titanium,Rubber,Transparent See Through,Titanium,Hublot,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,39.0,100.0,2
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Nomos,MENS,Automatic,Sport,8.4,Scratch Resistant Sapphire,Rhodium-plated,Index-Arabic Numeral,37.0,200.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Tommy Hilfiger,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Index,36.0,30.0,0
18kt Rose Gold,Alligator Leather,Transparent,18kt Rose Gold,Cartier,MENS,Automatic,Luxury,12.15,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Roman Numeral,40.0,30.0,2
18kt Yellow Gold,18kt Yellow Gold Rolex President,Solid,Diamond Set 18kt Yellow Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-tone,Roman Numeral,40.0,100.0,3
Stainless Steel,Rubber,Solid,Stainless Steel with an inlaid Black Ring,Ice-Watch,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Luminous Silver-tone,Dot,40.0,100.0,0
Stainless Steel,Stainless Steel and 18kt Everose Gold Oyster,Solid,18kt Everose Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Everose Gold,Roman Numeral,31.0,100.0,2
Stainless Steel,Leather,Solid,Stainless Steel,Chopard,WOMENS,Quartz,Casual,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,36.0,94.38815128863104,1
18kt white gold,Stainless Steel Diamond Oyster,Solid,18kt White Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver Tone,Roman Numeral,26.0,100.0,2
Titanium,Rubber with a Black (Alligator) Leather Top,Skeleton,18kt Rose Gold,Hublot,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold,Index,42.0,50.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Bell And Ross,MENS,Automatic,Luxury,13.5,Scratch Resistant Sapphire,Luminous Silver-tone,Index,42.0,100.0,1
Stainless Steel,Glass Fiber and Stainless Steel,Solid,Cable and Stainless Steel,Invicta,MENS,Quartz,Sport,11.196182331158523,Flame Fusion,Red,Index,60.0,100.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Cartier,WOMENS,Quartz,Casual,7.19,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Roman Numeral,22.0,30.0,1
18kt Rose Gold,Rubber,Solid,18kt Rose Gold with a Black ADLC Top Ring,Cartier,MENS,Automatic,Dive,11.0,Scratch Resistant Sapphire,Luminous Rose Gold-tone Sword-shaped,Index and Roman Numeral,42.0,300.0,2
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Green Ring,Orient,MENS,Automatic,Sport,13.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,42.0,200.0,0
Composite Metal,Leather,Solid,Composite Metal,Akribos Xxiv,MENS,Quartz,Casual,10.0,Scratch Resistant Hardlex,Luminous Silver-tone Dauphine-style,Index,40.0,30.0,0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Cartier,MENS,Automatic,Luxury,9.55,Scratch Resistant Sapphire,Blue,Index,41.0,100.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,WOMENS,Eco-Drive,Dress,11.196182331158523,Scratch Resistant Mineral,Rose Gold-tone,Roman Numeral-Crystal,29.0,30.0,0
Titanium,Rubber,Transparent,Titanium,Zenith,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,44.0,100.0,1
Titanium,Titanium,Transparent See Through,Titanium,Oris,MENS,Automatic,Casual,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,39.0,100.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Cartier,MENS,Automatic,Dress,8.36,Scratch Resistant Sapphire,Blue Steel,Roman Numeral,42.0,30.0,1
Stainless Steel,Stainless Steel set with Crystals,Solid,Stainless Steel set with Crystals,JBW,WOMENS,Quartz,Dress,10.0,Scratch Resistant Mineral,Rose Gold-tone Dauphine-style,Diamond,28.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Oniss,WOMENS,Quartz,Casual,10.0,Scratch Resistant Mineral,Silver-tone,Index,33.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Index,44.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Emporio Armani,WOMENS,Quartz,Casual,8.0,Scratch Resistant Sapphire,Rose Gold-tone,Index,32.0,30.0,0
18kt Rose Gold,Rubber,Transparent,18kt Rose Gold,Tag Heuer,MENS,Automatic,Sport,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Index,40.0,200.0,2
Stainless Steel,Alligator Leather,Transparent,Stainless Steel,Longines,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,38.0,30.0,0
Stainless Steel,Stainless Steel Mesh,Solid,Stainless Steel,Breitling,MENS,Automatic,Casual,12.8,Scratch Resistant Sapphire,Luminous Silver-tone,Index,38.299275680421424,100.0,1
18kt Rose Gold,Alligator Leather,Skeleton,Diamond Set,Audemars Piguet,MENS,Automatic,Luxury,9.7,Scratch Resistant Sapphire,Rose Gold-tone Leaf-style shape,Roman Numeral,39.0,20.0,3
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Omega,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,27.0,30.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Jivago,WOMENS,Quartz,Casual,11.0,Scratch Resistant Mineral,Silver-tone,Index,40.0,30.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Invicta,MENS,Quartz,Dive,29.5,Flame Fusion,Gold-tone Mercedes-logo and Breguet-style shape,Index,52.0,1000.0,0
Stainless steel,Stainless Steel,Solid,Stainless steel,Johan Eric,MENS,Quartz,Casual,8.0,Scratch Resistant Mineral,Rose Gold-tone,Index,40.0,50.0,0
Platinum,Platinum Rolex President,Solid,Platinum,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index and Roman Numeral,40.0,100.0,3
Stainless Steel,Leather,Solid,Stainless Steel,Mathey-Tissot,MENS,Quartz,Casual,7.3,Scratch Resistant Mineral,Silver-tone,Index,38.0,30.0,0
Stainless Steel,Rubber,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Sport,11.196182331158523,Scratch Resistant Mineral,Black,Dots,44.0,200.0,0
Alloy,Leather,Solid,Alloy,Crayo,UNISEX,Quartz,Casual,10.0,Scratch Resistant Mineral,Silver-tone,Index,41.0,30.0,0
Titanium,Rubber,Transparent See Through,Titanium,Audemars Piguet,UNISEX,Automatic,Luxury,12.0,Scratch Resistant Sapphire,Silver-tone,Index,37.0,50.0,3
Stainless Steel,Leather,Solid,Stainless Steel,Gevril,WOMENS,Quartz,Luxury,7.5,Scratch Resistant Sapphire,Yellow Gold-tone,Roman Numeral,36.0,50.0,1
18kt Rose Gold,Alligator Leather,Solid,18kt Rose Gold,IWC,UNISEX,Automatic,Luxury,9.2,Scratch Resistant Sapphire,Rose Gold Leaf-style shape,Index and Diamond,37.0,30.0,2
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Heritor,MENS,Automatic,Dress,16.0,Sapphire-Coated Mineral,Luminous Silver-tone,Index,43.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Omega,MENS,Automatic,Luxury,10.0,Scratch Resistant Sapphire,Silver-tone Dauphine-style,Roman Numeral and Dot,39.0,30.0,1
Stainless Steel,(Calfskin) Leather,Solid,Stainless Steel,Gevril,MENS,Automatic,Casual,13.0,Scratch Resistant Sapphire,Bronze,Index,43.0,50.0,1
Stainless Steel,Leather,Solid,Stainless Steel,Hamilton,MENS,Hand Wind,Dress,11.2,Scratch Resistant Sapphire,Silver-tone Alpha-style,Roman Numeral,38.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Yellow Gold-tone,Index,38.0,50.0,0
Stainless Steel,Leather,Transparent,Stainless Steel,Fossil,MENS,Automatic,Casual,11.0,Scratch Resistant Mineral,Luminous Black,Index,48.0,50.0,0
