case_material,band_material,case_back,bezel_material,brand,gender,movement,watch_style,case_thickness,crystal,hands,dial_markers,case_diameter,water_resistance,price
18kt White Gold,Fabric,Skeleton Transparent Exhibition See Through,18kt White Gold,Blancpain,MENS,Automatic,Luxury,15.5,Scratch Resistant Sapphire,Silver-tone,Index,45.0,300.0,118460.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Mathey-Tissot,MENS,Automatic,Casual,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Index,41.0,200.0,549.0
Composite Metal,Alloy,Solid,Composite Metal,August Steiner,MENS,Quartz,Fashion,11.0,Scratch Resistant Mineral,Luminous Silver-tone Sword-shaped,Arabic Numeral,44.0,10.0,51.02
Polished and Satin-Finished Ceramic,Lined Rubber,Transparent See Through,Ceramic with 6 H-shaped Titanium Screws,Hublot,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,38.0,50.0,6975.0
Stainless Steel,Stainless Steel,Solid,Diamond Set,Tudor,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,31.0,100.0,5810.0
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Zenith,MENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,39.0,100.0,7416.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Tudor,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Alternating Arabic Numeral and Diamond,39.0,100.0,1940.0
Titanium,Titanium,Solid,Titanium,Citizen,MENS,Eco-Drive,Casual,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index-Arabic Numeral,42.0,100.0,209.0
Stainless Steel,Leather,Solid,Stainless Steel,Hamilton,MENS,Hand Wind,Casual,14.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,40.0,100.0,1340.0
Stainless Steel,Stainless Steel with 18kt Yellow Gold Bars,Transparent,18kt Yellow Gold,Omega,UNISEX,Automatic,Luxury,11.4,Scratch Resistant Sapphire,Luminous Yellow Gold-tone Dauphine-style,Diamond,35.0,100.0,4650.0
Titanium,Titanium 1,Transparent,Titanium set with Diamonds,Hublot,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,33.0,50.0,9145.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,MENS,Quartz,Casual,5.0,Scratch Resistant Mineral,Rose Gold-tone,Index,40.0,30.0,78.0
Composite Metal,Stainless Steel,Solid,Composite Metal,Akribos Xxiv,WOMENS,Quartz,Casual,8.5,Scratch Resistant Hardlex,Rose Gold-tone,Index,36.0,30.0,77.0
Stainless Steel,Leather,Transparent,Aluminum,Tag Heuer,MENS,Automatic,Sport,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,42.0,100.0,3895.0
18kt White Gold,(Alligator) Leather,Solid,18kt White Gold,Vacheron Constantin,MENS,Hand Wind,Luxury,6.7,Scratch Resistant Sapphire,White Gold,Index,40.0,30.0,18975.0
18kt Everose Gold,Leather,Solid,18kt Everose Gold,Rolex,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold,Diamond,36.0,100.0,24425.0
Stainless steel,Leather,Solid,Stainless steel,Rebel,WOMENS,Quartz,Casual,7.0,Mineral w/ Sapphire Coating,Silver-tone,Index,25.0,50.0,269.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Nautis,MENS,Quartz,Casual,15.0,Scratch Resistant Mineral,Silver-tone,Index-Arabic Numeral,45.0,200.0,169.99
Stainless Steel,Stainless Steel with 18kt Sedna Gold Bars,Solid,18kt Sedna Gold,Omega,WOMENS,Quartz,Luxury,9.0,Scratch Resistant Sapphire,Sedna Gold,Index,28.0,30.0,4675.0
18kt Everose Gold,18kt Everose Gold Rolex President,Solid,18kt Everose Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose-Gold Tone,Index,28.0,100.0,18750.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel with an inlaid Blue Aluminium Ring showing 60 Minute Scale,Bell And Ross,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Gold-tone,Index,41.0,100.0,4075.0
18kt Rose Gold,Stainless Steel with 18kt Rose Gold Links,Solid,Stainless Steel,Carl F. Bucherer,WOMENS,Quartz,Luxury,6.2,Scratch Resistant Sapphire,Rose Gold-tone,Index and Diamond,30.0,30.0,3035.0
Oystersteel,Stainless Steel Rolex Jubilee,Solid,18kt White Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Roman Numeral,41.0,100.0,17825.0
Stainless Steel,Ceramic,Solid,Stainless Steel with a White Ceramic Ring,Guess,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index and Roman Numeral,34.0,100.0,139.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,30.0,30.0,925.0
Stainless Steel,Leather,Solid,Stainless Steel with a Black Aluminium Top Ring showing Tachymeter Markings,Omega,MENS,Automatic,Luxury,15.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,38.0,100.0,4160.0
Stainless Steel,Rubber,Skeleton,Stainless Steel,Hamilton,MENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone Dauphine-style,Index,46.0,50.0,1095.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel set with Diamonds,Zenith,WOMENS,Automatic,Luxury,10.35,Scratch Resistant Sapphire,Luminous Silver-tone,Diamond,36.0,100.0,8850.0
Stainless Steel,Leather,Solid,Stainless Steel,Gv2 By Gevril,MENS,Quartz,Luxury,13.0,Scratch Resistant Sapphire,Blue,Roman Numeral / Index,44.0,50.0,654.0
Alloy,Leather,Transparent,Alloy,Stuhrling Original,MENS,Automatic,Dress,12.5,Scratch Resistant Mineral,Silver-tone Leaf-style,Index,44.0,50.0,215.0
Titanium,Rubber,Transparent,Titanium,Bell And Ross,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,45.0,100.0,15000.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,41.0,100.0,3780.0
Stainless Steel,Leather,Solid,Stainless Steel,Gevril,WOMENS,Quartz,Luxury,7.5,Scratch Resistant Sapphire,Rose Gold-tone,Roman Numeral,36.0,50.0,1926.0
Stainless Steel,Leather,Solid,Stainless Steel,Panerai,MENS,Automatic,Luxury,11.0,Scratch Resistant Sapphire,Luminous,Arabic Numeral,42.0,30.0,6310.0
Stainless Steel,Stainless Steel with 18kt Rose Gold Links,Solid,18kt Rose Gold,Breitling,MENS,Automatic,Luxury,10.1,Scratch Resistant Sapphire,Luminous Rose Gold,Index,38.0,30.0,5750.0
Platinum 950,Mississippiensis Alligator,Skeleton Transparent Exhibition See Through,Platinum 950,Vacheron Constantin,MENS,Hand Wind,Luxury,7.65,Scratch Resistant Sapphire,Silver-tone,Index,42.0,30.0,29850.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel set with Zirconia Crystals,Mathey-Tissot,WOMENS,Quartz,Casual,11.196182331158523,Sapphire Coated,Yellow Gold-tone,Index,32.0,30.0,145.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Raymond Weil,WOMENS,Quartz,Casual,6.25,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,28.0,50.0,650.0
Stainless Steel,Leather and Silicone,Solid,Stainless Steel,Sevenfriday,MENS,Automatic,Casual,11.196182331158523,"Hardened K1 mineral glass, one-layer anti-reflecti",Luminous Silver-tone and Yellow,Index,47.0,30.0,788.89
18 ct Everose Gold,18 ct Everose Gold Rolex President,Solid,18 ct Everose Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Everose Gold,Roman Numeral,31.0,100.0,39550.0
Stainless Steel,Leather,Solid,Stainless Steel,Tudor,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Diamond,26.0,100.0,3825.0
Stainless Steel,Leather,Transparent,Stainless Steel,Hamilton,MENS,Automatic,Dress,8.45,Scratch Resistant Sapphire,Luminous Silver-tone Dauphine-style,Index,40.0,50.0,669.99
18kt Yellow Gold,Alligator,Solid,18kt Yellow Gold,Chopard,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-tone,Index,40.0,94.38815128863104,10580.0
Stainless Steel,Stainless Steel Rolex Jubilee,Solid,Stainless Steel,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,41.0,100.0,11150.0
Stainless Steel,Crocodile Leather,Solid,Stainless Steel,Breitling,MENS,Automatic,Luxury,17.0,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,43.0,500.0,5465.0
Composite Metal,Stainless Steel,Solid,Composite Metal,Akribos Xxiv,WOMENS,Quartz,Casual,8.5,Scratch Resistant Hardlex,Black,Index,36.0,30.0,75.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,13.0,Scratch Resistant Sapphire,Blue,Roman Numeral,36.0,30.0,654.0
Stainless Steel,Stainless Steel,Transparent,Ceramic,Omega,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,18kt White Gold,Index-Arabic Numeral,45.0,600.0,9895.0
Stainless Steel,Leather,Transparent,Stainless Steel,Porsamo Bleu,MENS,Automatic,Luxury,10.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,45.0,50.0,255.0
18kt Rose Gold,18kt Rose Gold,Transparent See Through,18kt Rose Gold,Audemars Piguet,MENS,Automatic,Luxury,12.4,Scratch Resistant Sapphire,Rose Gold-tone,Index,41.0,50.0,132250.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,WOMENS,Quartz,Dress,8.7,Scratch Resistant Sapphire,Rose Gold-tone,Index,29.0,50.0,860.0
Brass set with Swarovski Crystals,Satin (Over Leather),Solid,Brass set with Swarovski Crystals,Burgi,WOMENS,Quartz,Dress,8.5,Scratch Resistant Mineral,Gold-tone Leaf,Index,33.0,30.0,64.35
Stainless Steel/18k White Gold,Stainless Steel Rolex Oyster,Screw-down,Stainless Steel,Rolex,WOMENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman- Diamond Numeral,31.0,100.0,13510.0
Stainless Steel,Silicone,Solid,Stainless Steel,Fossil,MENS,Quartz,Casual,13.0,Scratch Resistant Mineral,Black,Index,45.0,50.0,76.5
Stainless Steel,Polyurethane with Gold Ion-plated,Solid,Stainless Steel,Invicta,MENS,Quartz,Dive,22.0,Flame Fusion,Skeleton,Dot,53.0,1000.0,188.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Seiko,WOMENS,Quartz,Casual,7.0,Scratch Resistant Sapphire,Silver-tone Dauphine-style,Index,30.0,100.0,109.0
316L Stainless Steel,Leather,Transparent,Stainless Steel,Heritor,MENS,Automatic,Casual,12.0,Sapphire-Coated Mineral,Luminous Silver-tone,Index,32.0,50.0,714.99
Stainless Steel,Rubber,Solid,Stainless Steel with an inlaid Blue Ring,Ice-Watch,UNISEX,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Luminous Green,Arabic Numeral,36.0,100.0,58.88
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Fossil,MENS,Quartz,Casual,12.0,Scratch Resistant Mineral,Silver-tone,Index,42.0,100.0,94.0
18kt Rose Gold,Alligator,Transparent See Through,18kt Rose Gold,Panerai,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Index,42.0,30.0,18950.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Index,32.0,50.0,111.0
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Seiko,MENS,Automatic,Casual,11.0,Scratch Resistant Hardlex,Gold-tone,Index,38.0,30.0,165.0
Stainless Steel,Stainless Steel Mesh,Solid,Stainless Steel,Michael Kors,WOMENS,Quartz,Casual,7.0,Scratch Resistant Mineral,Silver-tone,Crystal-tipped Index,38.0,50.0,99.0
Alloy,Leather,Solid,Alloy,Akribos Xxiv,MENS,Quartz,Casual,7.5,Mineral with a Hardened Coating,Yellow Gold-tone Dauphine,Alternating Roman Numeral and Index,42.0,30.0,51.99
316L Stainless Steel,316L Stainless Steel with 18k Yellow Gold,Solid,18k Yellow Gold,Tudor,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Yellow Gold-tone,Roman Numeral,28.0,100.0,2845.0
18kt Rose Gold,Rubber,Transparent,18kt Rose Gold,Richard Mille,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Arabic Numeral,49.0,50.0,460000.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel with an inlaid Black Ceramic Ring,Gevril,MENS,Automatic,Luxury,13.0,Scratch Resistant Sapphire,Luminous Yellow Gold-tone,Dot,43.0,200.0,1594.99
Stainless Steel,Ccroco-embossed Leather,Solid,Diamond Set,Bulova,WOMENS,Quartz,Luxury,13.05,Scratch Resistant Sapphire,Rose Gold-tone,Index,40.0,100.0,1049.0
18kt White Gold,18kt White Gold Rolex Oyster,Solid,18kt White Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,40.0,100.0,75000.0
Stainless Steel,Leather,Solid,Stainless Steel with Grey Aluminium Top Ring set with Diamonds,Omega,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous 18K Sedna Gold,Index,38.0,100.0,6600.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Mido,WOMENS,Automatic,Dress,8.7,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,29.0,50.0,799.0
18kt Pink Gold,18kt Pink Gold,Solid,Diamond Set,Audemars Piguet,WOMENS,Quartz,Luxury,9.2,Scratch Resistant Sapphire,Gold-tone,Index,33.0,20.0,82190.0
Alloy,Stainless Steel,Solid,Alloy,Stuhrling Original,WOMENS,Quartz,Dress,8.0,Scratch Resistant Mineral,Yellow Gold-tone,Index,35.0,30.0,85.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Roberto Bianci,MENS,Quartz,Fashion,12.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,49.0,100.0,157.5
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Hamilton,MENS,Quartz,Pilot,12.47,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,41.0,100.0,462.39
Stainless Steel,Leather,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,8.8,Scratch Resistant Sapphire,Gold-tone,Diamond,37.0,50.0,560.0
Stainless Steel,Stainless Steel Rolex Jubilee,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,36.0,100.0,17720.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,10.0,Scratch Resistant Sapphire,Blue,Roman Numeral,36.0,30.0,654.0
Stainless Steel,Stainless Steel and 18kt Yellow Gold Rolex Jubilee,Solid,18kt Yellow Gold set with Diamonds,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Yellow Gold-tone,Index,28.0,100.0,18350.0
18kt Rose Gold,Leather,Skeleton Transparent Exhibition See Through,18kt Rose Gold,Breguet,MENS,Hand Wind,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,41.0,30.0,99950.0
18kt White Gold,Rubber,Transparent See Through,18kt White Gold,Audemars Piguet,MENS,Automatic,Dress,10.7,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral & Index,41.0,30.0,34500.0
18kt Rose Gold,18kt Rose Gold,Solid,Diamond Set 18kt Rose Gold,Omega,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,22.0,94.38815128863104,10000.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Longines,WOMENS,Automatic,Dress,9.2,Scratch Resistant Sapphire,Silver-tone,Diamond,34.0,30.0,1150.0
Stainless steel,Leather,Solid,Stainless steel,Rudiger,MENS,Quartz,Casual,12.0,Scratch Resistant Mineral,Rose Gold-tone,Index,41.0,50.0,269.99
Stainless Steel,Ostrich Leather,Solid,Stainless Steel,Jaeger LeCoultre,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Blue-toned,Arabic,24.0,30.0,4200.0
Alloy,Leather,Solid,Alloy,Stuhrling Original,MENS,Automatic,Dress,12.0,Scratch Resistant Mineral,Blue,Index,41.0,100.0,125.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,WOMENS,Quartz,Casual,5.0,Scratch Resistant Sapphire,Black,Diamond,24.0,30.0,1125.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Mineral,Yellow Gold-tone,Diamond,28.0,50.0,149.0
Stainless Steel,Leather,Solid,Stainless Steel,Gv2 By Gevril,MENS,Quartz,Fashion,13.8,Scratch Resistant Sapphire,Yellow Gold-tone,Arabic Numeral,44.0,50.0,653.0
18kt Rose Gold,Leather,Skeleton Transparent Exhibition See Through,18kt Rose Gold,Cartier,MENS,Automatic,Luxury,14.8,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Roman Numeral,44.0,30.0,21895.0
Stainless Steel,Leather,Transparent,Stainless Steel,Mido,MENS,Automatic,Dress,10.82,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,42.0,50.0,368.0
Stainless Steel,Leather,Solid,Diamond Set,Gv2 By Gevril,WOMENS,Quartz,Fashion,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Diamond-Arabic Numeral,37.0,50.0,405.0
Stainless Steel,Silicone,Transparent See Through,Stainless Steel,Invicta,MENS,Automatic,Sport,17.0,Flame Fusion,Silver-tone,Arabic Numeral,44.0,50.0,203.7
Stainless Steel,Stainless Steel,Solid Engraved with Bridge Logo,Stainless Steel,Brooklyn Watch Co.,MENS,Quartz,Sport,12.65,Sapphitek,Luminous Black,Arabic Numeral / Index,44.0,100.0,79.99
Stainless Steel,Satin (Leather Backed),Solid,Stainless Steel,Chopard,WOMENS,Quartz,Dress,12.0,Scratch Resistant Sapphire,Silver-tone,Mickey Head,42.0,30.0,10295.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,IWC,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,40.0,100.0,5350.0
Stainless Steel,Polyurethane,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Casual,11.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,45.0,100.0,149.99
Brass,Stainless Steel Mesh,Solid,Brass set with Multi-Colored Swarovski Crystals,Burgi,WOMENS,Quartz,Fashion,7.5,Scratch Resistant Hardlex,Silver-tone,Diamond,33.0,30.0,63.0
18kt Rose Gold,(Alligator) Leather,Transparent,18kt Rose Gold set with Diamonds,Chopard,WOMENS,Automatic,Luxury,12.2,Scratch Resistant Sapphire,Rose Gold,Index,30.0,30.0,9350.0
18kt Rose Gold,18kt Rose Gold,Transparent See Through,18kt Rose Gold,Audemars Piguet,MENS,Automatic,Luxury,10.5,Scratch Resistant Sapphire,Rose Gold-tone,Index,41.0,50.0,115540.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Citizen,MENS,Automatic,Casual,11.7,Scratch Resistant Sapphire,Rose Gold-tone,Index,40.0,50.0,279.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,UNISEX,Quartz,Fashion,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Index,40.0,50.0,99.99
18kt Rose Gold,18kt Rose Gold,Solid,Diamond Set 18kt Rose Gold,Cartier,WOMENS,Hand Wind,Luxury,11.196182331158523,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Roman Numeral,22.0,30.0,29500.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Casual,8.0,Sapphire Coated Glass,Silver-tone,Index,32.0,50.0,119.0
Stainless steel,Stainless Steel,Solid,Stainless steel,Johan Eric,MENS,Quartz,Casual,7.5,Scratch Resistant Mineral,Black,Roman Numeral,37.0,30.0,162.99
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Mido,MENS,Automatic,Casual,15.0,Scratch Resistant Sapphire,Rose Gold-tone,Index,42.0,50.0,684.99
18kt Rose Gold,(Alligator) Leather,Transparent,18kt Rose Gold,Blancpain,MENS,Automatic,Luxury,13.4,Scratch Resistant Sapphire,Rose Gold,Roman Numeral,42.0,30.0,24420.0
18kt Rose Gold,(Alligator) Leather,Transparent,18kt Rose Gold set with Diamonds,Patek Philippe,WOMENS,Automatic,Luxury,11.0,Scratch Resistant Sapphire,Luminous Gold-tone Leaf-style shape,Arabic Numeral,38.0,30.0,59225.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel with an inlaid Blue Ring,Gevril,MENS,Automatic,Luxury,13.0,Scratch Resistant Sapphire,Luminous Yellow Gold-tone,Index,43.0,200.0,1281.0
18kt Rose Gold,18kt Rose Gold,Transparent See Through,18kt Rose Gold,Audemars Piguet,MENS,Automatic,Luxury,10.5,Scratch Resistant Sapphire,Rose Gold-tone,Index,41.0,50.0,115540.0
Stainless Steel,Leather,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Sport,10.0,Scratch Resistant Sapphire,Gold-tone,Index,43.0,100.0,325.0
Alloy,Leather,Solid,Alloy,Stuhrling Original,MENS,Automatic,Dress,12.0,Scratch Resistant Mineral,Rose Gold-tone,Index,42.0,50.0,125.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Raymond Weil,WOMENS,Quartz,Dress,6.0,Scratch Resistant Sapphire,Yellow Gold PVD,Diamond,29.0,50.0,795.0
18kt Everose Gold,18kt Everose Gold Oyster,Screw Down,18kt Everose Gold showing Tachymeter Markings,Rolex,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous 18kt Everose Gold,Diamond,40.0,100.0,59250.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel showing 24 Hour Markers,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Dot,42.0,100.0,11750.0
Stainless Steel,Leather,Transparent with a Stainless Steel Cover,Stainless Steel,Heritor,MENS,Automatic,Casual,17.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,44.0,50.0,121.84
Stainless Steel,Rubber,Solid,Stainless Steel,U-Boat,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Sapphire,Black,Arabic Numeral & Index,44.0,50.0,775.0
18kt Rose Gold,Leather,Transparent See Through,Diamond Set,Jaeger LeCoultre,MENS,Automatic,Luxury,7.8,Scratch Resistant Sapphire,Rose Gold-tone,Index,39.0,50.0,15750.0
Ceramic,Rubber,Transparent,Acrylic glass and parts from the Apollo 11 spacecraft,Romain Jerome,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rhodium-plated Arrow-shaped,Arabic Numeral,45.0,100.0,7800.0
18kt Rose Gold,18kt Rose Gold,Solid,18kt Rose Gold,Chopard,WOMENS,Quartz,Luxury,10.0,Scratch Resistant Sapphire,Rose Gold-tone,Stick,30.0,30.0,19765.0
Stainless Steel,Leather,Transparent,Stainless Steel,Armand Nicolet,MENS,Automatic,Luxury,13.0,Scratch Resistant Sapphire,Blue,Index,43.0,100.0,1584.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,WOMENS,Quartz,Dress,17.0,Scratch Resistant Sapphire,Silver-tone,Diamond,34.0,50.0,1015.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel set with Crystals,Invicta,WOMENS,Quartz,Dress,13.5,Scratch Resistant Mineral,Luminous Silver-tone,Roman Numeral,40.0,200.0,77.99
Stainless Steel,Stainless Steel,Transparent,Stainless Steel set with 38 diamonds (0.44 carats),Chopard,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,29.0,50.0,8760.0
Stainless steel,Stainless Steel,Solid,Stainless steel,Johan Eric,MENS,Quartz,Casual,8.0,Scratch Resistant Mineral,Silver-toned,Index,42.0,50.0,198.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mido,WOMENS,Quartz,Dress,5.8,Scratch Resistant Sapphire,Yellow Gold-tone,Roman Numeral,38.299275680421424,30.0,269.0
18kt Rose Gold,18kt Rose Gold President,Solid,Diamond Set 18kt Rose Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Diamond Roman Numeral,36.0,100.0,71245.0
Oystersteel,Oystersteel Jubilee,Solid,Oystersteel,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,31.0,100.0,9490.0
18kt Everose Gold,18kt Everose Gold President,Solid,18kt Everose Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Everose Gold,Diamond,31.0,100.0,32255.0
Stainless Steel,Rubber,Transparent,Stainless Steel with a Black Anodised Aluminium Ring,Bell And Ross,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,BLuminous lack,Index,41.0,100.0,4080.0
Stainless Steel,Stainless Steel,Solid,Diamond Set,Tudor,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Diamond,31.0,100.0,7735.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,MENS,Quartz,Casual,7.3,Scratch Resistant Mineral,Silver-tone,Index,38.0,30.0,89.0
18kt Rose Gold,18kt Rose Gold,Skeleton Transparent Exhibition See Through,18kt Rose Gold,Carl F. Bucherer,MENS,Automatic,Luxury,10.85,Scratch Resistant Sapphire,Rose Gold-tone,Index,38.0,30.0,17500.0
Stainless Steel,Stainless Steel Mesh,Solid,Stainless Steel,Ferre Milano,WOMENS,Quartz,Casual,10.6,Scratch Resistant Mineral,Silver-tone,Index,36.0,50.0,299.99
Stainless Steel,Leather,Transparent,Stainless Steel,Graham,MENS,Automatic,Sport,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,44.0,100.0,2890.0
Stainless Steel,Lizard,Transparent See Through,Stainless Steel,Versace,WOMENS,Quartz,Casual,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,38.0,94.38815128863104,999.99
Stainless Steel,(Barenia) Leather,Transparent,18kt Rose Gold (Ceragold) with a Black Ceramic Top Ring,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Rose Gold Arrow-shaped,Index,41.0,300.0,5950.0
Stainless Steel,Leather,Solid,Stainless Steel,Jaeger LeCoultre,UNISEX,Hand Wind,Sport,11.196182331158523,Scratch Resistant Sapphire,Blue Sword-shaped,Arabic Numeral,25.0,30.0,8570.0
