case_material,band_material,case_back,bezel_material,brand,gender,movement,watch_style,case_thickness,crystal,hands,dial_markers,case_diameter,water_resistance,price_segment,dbscan_cluster
Stainless Steel,Rubber,Transparent,Stainless Steel,Revue Thommen,MENS,Automatic,Casual,13.0,Scratch Resistant Sapphire,Silver-tone,Index,43.0,100.0,0,-1
Stainless Steel,(Alligator) Leather,Solid,Stainless Steel,Longines,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Index,36.0,30.0,1,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel set with Crystals,Mathey-Tissot,WOMENS,Quartz,Fashion,3.0,Scratch Resistant Mineral,Luminous Silver-tone,Crystal,26.0,50.0,0,-1
Stainless Steel,Leather,Solid,Stainless Steel,Coach,WOMENS,Quartz,Casual,7.5,Scratch Resistant Mineral,Rose Gold-tone,Index,36.0,30.0,0,-1
Stainless Steel,Leather,Transparent,Stainless Steel,Mido,MENS,Automatic,Casual,13.3,Scratch Resistant Sapphire,Silver-tone Leaf-style,Index,42.0,50.0,0,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Blue,Roman Numeral,20.0,30.0,1,-1
Ceramic,Ceramic,Solid,Stainless Steel with a White Ceramic Ring,Chanel,WOMENS,Quartz,Luxury,12.94,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,33.0,200.0,1,-1
18kt Pink Gold,Leather,Transparent See Through,18kt Pink Gold,Vacheron Constantin,MENS,Automatic,Luxury,13.53,Scratch Resistant Sapphire,Luminous,Alternating Arabic and Index,45.0,30.0,3,-1
18kt Rose Gold,Crocodile Leather,Solid,Diamond Set,Piaget,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Roman Numeral,30.0,94.38815128863104,3,-1
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Tissot,WOMENS,Automatic,Dress,9.48,Scratch Resistant Sapphire,Silver-tone Leaf-style,Diamond,30.0,50.0,0,-1
Stainless Steel,Alligator/Crocodile Leather,Solid,Stainless Steel,Breitling,WOMENS,Automatic,Dress,9.92,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,35.0,30.0,1,-1
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Citizen,MENS,Automatic,Sport,14.0,Scratch Resistant Sapphire,Silver-tone,Index,41.0,100.0,1,-1
Titanium,Leather,Skeleton Transparent Exhibition See Through,Titanium,Hublot,MENS,Hand Wind,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,45.0,30.0,3,-1
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Mido,MENS,Automatic,Sport,11.196182331158523,Scratch Resistant Sapphire,Luminous,Dot,44.0,200.0,0,-1
Stainless Steel,Stainless Steel and 18ct Everose Gold Rolex Jubile,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Everose Gold,Diamonds and Roman Numeral at the 9 o' clock,28.0,100.0,2,13
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Red Ceramic Ring,Picasso And Co,MENS,Automatic,Dive,9.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,42.0,100.0,0,-1
Stainless Steel,Alligator Leather,Transparent,Stainless Steel,Glashutte Original,MENS,Automatic,Luxury,12.0,Scratch Resistant Sapphire,Silver-toned Spade-shaped,Arabic Numeral,44.0,50.0,1,-1
Ceramic,Rubber,Transparent See Through,Ceramic,Hublot,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,42.0,50.0,1,10
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Luminous Rose Gold-tone,Index,34.0,50.0,0,-1
Stainless Steel,Leather,Transparent See Through,Stainless Steel,U-Boat,MENS,Automatic,Casual,11.196182331158523,Scratch Resistant Sapphire,Black,Arabic Numeral & Index,40.0,100.0,1,-1
Stainless Steel,Rubber,Solid,Stainless Steel,U-Boat,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Sapphire,Black,Arabic Numeral & Index,40.0,50.0,1,-1
Stainless Steel,(Alligator) Leather,Transparent,Stainless Steel,Omega,MENS,Automatic,Luxury,13.2,Scratch Resistant Sapphire,Luminous Silver-tone Arrow-shaped,Index,41.0,150.0,1,-1
Stainless Steel,Stainless Steel set with Diamonds,Solid,Diamond Set,Michele,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,33.0,50.0,1,-1
Stainless Steel,Canvas,Transparent,Stainless Steel,Gevril,MENS,Automatic,Luxury,13.0,Scratch Resistant Sapphire,Silver-tone,Index,43.0,200.0,1,-1
Bronze,Leather,Transparent,Ceramic,Gevril,MENS,Automatic,Luxury,16.0,Scratch Resistant Sapphire,Rose Gold-tone,Index,44.0,100.0,1,-1
18kt Everose Gold,18kt Everose Gold Rolex Pearlmaster,Solid,12 Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-Tone,Roman Numeral,29.0,100.0,2,8
18kt Yellow Gold,Alligator Leather,Transparent,18kt Yellow Gold,Vacheron Constantin,MENS,Automatic,Luxury,8.55,Scratch Resistant Sapphire,Gold-tone,Index,40.0,30.0,2,-1
Titanium,Rubber,Skeleton Transparent,Ceramic,Audemars Piguet,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Stick,44.0,20.0,4,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Breitling,MENS,Automatic,Luxury,17.1,Scratch Resistant Sapphire,Silver-tone,Index,43.0,30.0,1,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Akribos Xxiv,MENS,Quartz,Casual,12.0,Scratch Resistant Mineral,Silver-tone,Arabic & Index,42.0,30.0,0,-1
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Mido,MENS,Automatic,Luxury,11.0,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index / Arabic Numeral,42.0,100.0,1,-1
18kt Rose Gold,Rubber,Transparent,18kt Rose Gold with a Blue Ceramic Ring,Omega,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone Skeleton,Dot,42.0,300.0,2,-1
18kt Rose Gold,Leather,Transparent,Diamond Set,Richard Mille,WOMENS,Automatic,Luxury,11.85,Scratch Resistant Sapphire,Rose Gold-tone,Index,31.0,50.0,4,-1
Stainless Steel,Stainless Steel with 18kt Yellow Gold Rolex Jubile,Solid,18kt Yellow Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Yellow Gold-tone,Index,41.0,100.0,2,3
Stainless Steel,Rubber (Diver Pro III),Solid,Stainless Steel with a Black Metallic Ring,Breitling,MENS,Automatic,Dive,16.85,Scratch Resistant Sapphire,Luminous Grey,Index,46.0,2000.0,1,-1
18kt Yellow Gold,Diamond Set 18kt Yellow Gold President,Solid,Diamond Set 18kt Yellow Gold,Rolex,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-tone,Diamond,36.0,100.0,4,9
18kt White Gold,18kt White Gold Rolex President,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-Tone,Diamond,36.0,100.0,3,-1
Platinum,Leather,Transparent,Platinum,Blancpain,MENS,Automatic,Luxury,14.0,Scratch Resistant Sapphire,Silver-tone Skeleton,Index,43.0,100.0,3,-1
Stainless Steel,Genuine Leather,Transparent,Stainless Steel,Gevril,MENS,Automatic,Luxury,11.5,Scratch Resistant Sapphire,Silver-tone,Arabic & Index,44.0,50.0,0,-1
18kt Rose Gold,18kt Rose Gold Oyster,Solid,18kt Rose Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Index,42.0,100.0,3,11
18kt Everose Gold,18kt Everose Gold President,Solid,18kt Everose Gold Set with diamonds,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Index-Roman Numeral,40.0,100.0,3,0
Stainless Steel,Stainless Steel,Skeleton,Stainless Steel,Breitling,MENS,Automatic,Luxury,14.35,Scratch Resistant Sapphire,Silver-tone,Index,43.0,100.0,1,-1
Stainless Steel,Leather,Solid,Stainless Steel,Seiko,WOMENS,Quartz,Dress,7.43,Scratch Resistant Hardlex,Rose Gold-tone,Index,32.0,50.0,0,-1
Stainless Steel,Stainless Steel Mesh,Solid,Stainless Steel,Daniel Wellington,WOMENS,Quartz,Casual,6.0,Scratch Resistant Mineral,Rose Gold-tone,Index,32.0,30.0,0,-1
18kt Yellow Gold,18kt Yellow Gold,Skeleton Transparent Exhibition See Through,18kt Yellow Gold,Audemars Piguet,MENS,Hand Wind,Luxury,8.95,Scratch Resistant Sapphire,Gold-tone,Index,41.0,200.0,4,-1
18kt Rose Gold,Rubber,Solid,18kt Rose Gold with a Black ADLC Top Ring,Cartier,MENS,Automatic,Dive,11.0,Scratch Resistant Sapphire,Luminous Rose Gold-tone Sword-shaped,Index and Roman Numeral,42.0,300.0,2,-1
Stainless Steel,Stainless Steel,Snap Down,Stainless Steel,Akribos Xxiv,MENS,Quartz,Casual,11.0,Mineral with sapphire coating,Silver-tone,Dot,42.0,50.0,0,-1
Stainless Steel,Stainless Steel Rolex Oyster,Solid,Stainless Steel,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,"Luminous Silver-tone Mercedes-logo, sword shape",Index,44.0,100.0,2,-1
Stainless Steel,Rubber,Solid,Stainless Steel,Romain Jerome,MENS,Automatic,Luxury,14.5,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,46.0,30.0,1,-1
Stainless Steel,Stainless Steel,Skeleton Transparent Exhibition See Through,Stainless Steel,Breguet,MENS,Automatic,Luxury,12.0,Scratch Resistant Sapphire,Silver-tone Breguet-style shape,Roman Numeral,39.0,100.0,2,-1
Stainless Steel,Rubber,Solid,Stainless Steel,Romain Jerome,MENS,Automatic,Luxury,15.0,Scratch Resistant Sapphire,Black,Arabic Numeral,46.0,30.0,1,-1
Stainless steel,Leather,Solid,Stainless steel,Rebel,MENS,Quartz,Casual,12.0,Mineral w/ Sapphire Coating,Black,Index,48.0,50.0,0,-1
Stainless Steel,Leather,Transparent,Stainless Steel,Orient,MENS,Automatic,Casual,12.5,Scratch Resistant Mineral,Silver-tone,Index,38.0,30.0,0,-1
Platinum,Platinum President,Solid,Platinum,Rolex,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,36.0,100.0,4,9
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Gevril,MENS,Automatic,Luxury,11.0,Scratch Resistant Sapphire,Silver-tone,Index,40.0,50.0,0,-1
Alloy,Alloy,Solid,Alloy,Sekonda,WOMENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Index,33.0,30.0,0,-1
Stainless Steel,(Alligator) Leather,Skeleton,Stainless Steel,Longines,MENS,Automatic,Luxury,10.3,Scratch Resistant Sapphire,Blue Leaf-style,Black Arabic Numeral,42.0,30.0,1,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Rgmt,MENS,Automatic,Dive,18.0,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral & Index,54.0,1000.0,0,-1
Stainless Steel,Rubber,Solid,Stainless Steel,Breitling,MENS,Automatic,Dive,13.2,Scratch Resistant Sapphire,Silver-tone,Index,46.0,300.0,1,-1
Stainless steel,Stainless Steel,Solid,Stainless Steel,Johan Eric,WOMENS,Quartz,Casual,7.0,Scratch Resistant Mineral,Yellow Gold-tone,Index,36.0,50.0,0,-1
18kt Yellow Gold,18kt Yellow Gold Rolex President,Solid,18kt Yellow Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-Tone,Arabic Numeral numberal,31.0,100.0,2,2
18kt Rose Gold,Alligator Santoni Leather,Solid,66 Diamond Set,IWC,WOMENS,Automatic,Luxury,11.0,Scratch Resistant Sapphire,Gold-tone Leaf-style shape,Index- Roman Numeral at 6 o'clock,37.0,30.0,2,-1
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Omega,WOMENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone Skeleton,Diamond,29.0,50.0,1,-1
Stainless Steel and 18kt Yellow Gold,Stainless Steel and 18kt Yellow Gold Oyster,Solid,18kt Yellow Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Index,31.0,100.0,2,-1
Stainless Steel,(Alligator) Leather,Transparent,Ceramic showing Tachymeter Markings,Tag Heuer,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,44.0,100.0,1,-1
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Bell And Ross,MENS,Automatic,Luxury,11.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,42.0,100.0,1,7
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Tag Heuer,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,30.0,200.0,1,-1
Stainless Steel,Rubber and Titanium Elements,Skeleton,Stainless Steel,Ulysse Nardin,MENS,Automatic,Luxury,13.85,Scratch Resistant Sapphire,Silver-toned Spade-shape,Arabicl,43.0,100.0,1,-1
Stainless Steel,Genuine Leather,Solid,Stainless Steel,Nautis,MENS,Quartz,Casual,14.0,Scratch Resistant Mineral,Silver-tone,Index,45.0,200.0,0,-1
Stainless Steel,Stainless Steel with 18kt Everose Gold Rolex Oyste,Solid,18kt Everose Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Everose Gold,Index,41.0,100.0,2,3
Stainless Steel,Stainless Steel,Transparent,Stainless Steel with a Blue and Orange Ring,Stuhrling Original,MENS,Automatic,Dive,11.8,Scratch Resistant Krysterna,"Luminous Silver-tone sword, and Breguet-style shape",Dot,42.0,200.0,0,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Hamilton,MENS,Automatic,Casual,10.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,43.0,50.0,0,-1
Stainless Steel,Nylon NATO,Solid,Stainless Steel,Hamilton,MENS,Hand Wind,Casual,9.95,Scratch Resistant Mineral,Silver-tone,Arabic Numeral,33.0,100.0,0,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Patek Philippe,WOMENS,Quartz,Luxury,6.8,Scratch Resistant Sapphire,Silver-tone,Index-Roman Numerals,30.0,30.0,2,-1
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Citizen,MENS,Automatic,Casual,11.7,Scratch Resistant Sapphire,Gold-tone,Index,40.0,50.0,0,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Casual,3.0,Scratch Resistant Mineral,Yellow Gold-tone,Index,28.0,30.0,0,-1
Stainless steel,Leather,Solid,Stainless steel,Johan Eric,WOMENS,Quartz,Dress,7.5,Scratch Resistant Mineral,Rose Gold-tone,Diamond index,29.0,30.0,0,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Blue Aluminium Top Ring,Invicta,MENS,Quartz,Casual,12.0,Flame Fusion,Luminous Gold-tone Mercedes-logo and Breguet-style,Dot,40.0,200.0,0,-1
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Omega,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-tone,Roman Numeral,34.0,30.0,1,-1
Stainless Steel,Leather,Solid,Stainless Steel,Longines,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Black,Index,24.0,30.0,0,-1
18kt Rose Gold,(Alligator) Leather,Transparent,18kt Rose Gold set with 60 Diamonds,Girard Perregaux,WOMENS,Automatic,Luxury,8.9,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,30.0,30.0,2,-1
Stainless Steel,Leather,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,8.5,Scratch Resistant Sapphire,Rose Gold-tone,Index,35.0,50.0,0,-1
Stainless Steel,Stainless Steel,Solid,Diamond Set Stainless Steel,Gevril,WOMENS,Quartz,Luxury,9.5,Scratch Resistant Sapphire,Yellow Gold-tone,Arabic Numeral,32.0,50.0,1,-1
18kt Rose Gold,Alligator Leather,Skeleton Transparent Exhibition See Through,Diamond Set,Blancpain,MENS,Hand Wind,Luxury,9.43,Scratch Resistant Sapphire,Black,Index,38.0,30.0,3,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Certina,MENS,Quartz,Casual,12.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,42.0,100.0,0,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Dress,3.0,Scratch Resistant Mineral,Luminous Yellow Gold-tone,Crystal,32.0,50.0,0,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Orient,MENS,Quartz,Sport,12.0,Scratch Resistant Mineral,Luminous Red,Index,47.0,100.0,0,-1
Forged Carbon,Rubber,Solid,Forged Carbon,Doxa,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,White and Orange,Index,42.0,300.0,1,-1
Stainless Steel,Crocodile Leather,Transparent,Stainless Steel,Ball,MENS,Automatic,Casual,12.5,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,38.299275680421424,50.0,0,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel with an inlaid Red and Black Ring,Nautis,MENS,Quartz,Casual,16.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,45.0,50.0,0,-1
Platinum,Platinum Rolex President,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver tone,Roman Numeral,26.0,100.0,3,4
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,WOMENS,Automatic,Casual,8.0,Scratch Resistant Sapphire,Blue Steel Sword-shaped,Black Roman Numeral,26.0,30.0,1,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Baume Et Mercier,WOMENS,Quartz,Luxury,7.65,Scratch Resistant Sapphire,Rose Gold-tone Dauphine-style shape,Diamond,30.0,50.0,0,-1
Stainless Steel,Rubber with a Blue (Alligator) Leather Top,Transparent,Stainless Steel with a Blue Ceramic Top Ring,Omega,MENS,Automatic,Dive,16.04,Scratch Resistant Sapphire,Luminous Silver-tone Arrow-shaped,Index,43.0,600.0,1,-1
Stainless Steel,Leather,Transparent,Stainless Steel,Hamilton,MENS,Automatic,Pilot,12.8,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,45.0,100.0,0,-1
Stainless Steel,Leather,Solid,Stainless Steel,Hamilton,WOMENS,Quartz,Casual,8.64,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,27.0,50.0,0,-1
Stainless Steel,Stainless Steel with 18kt Yellow Gold Links,Transparent,18kt Yellow Gold,Omega,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Gold-tone Alpha-style Skeleton,Index,29.0,50.0,1,-1
Stainless Steel,Rubber,Transparent,Stainless Steel,Chopard,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,39.0,50.0,1,-1
18kt White Gold,18kt White Gold Rolex Oyster,Solid,18kt White Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,40.0,100.0,3,0
Polished Stainless Steel,Leather,Solid,Polished Stainless Steel,Panerai,MENS,Hand Wind,Luxury,14.0,Scratch Resistant Sapphire,Luminous Black,Index,44.0,300.0,1,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Revue Thommen,MENS,Automatic,Luxury,13.0,Scratch Resistant Sapphire,Green,Index,42.0,300.0,0,-1
Stainless Steel,Rubber,Transparent See Through,Stainless Steel,IWC,MENS,Automatic,Sport,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,43.0,100.0,1,-1
Stainless Steel,Silicone,Solid,Stainless Steel,Invicta,MENS,Automatic,Casual,16.0,Scratch Resistant Mineral,Luminous Yellow Gold-tone,Dot,48.0,100.0,0,-1
Composite Metal,Leather,Solid,Composite Metal with a Green Ring,Akribos Xxiv,WOMENS,Quartz,Dress,7.5,Scratch Resistant Hardlex,Yellow Gold-tone,Index,34.0,30.0,0,-1
Stainless Steel,Leather,Solid,Crystal Set,Bulova,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,40.0,100.0,0,-1
Stainless Steel,Rubber,Solid,Stainless Steel,Romain Jerome,MENS,Automatic,Luxury,15.0,Scratch Resistant Sapphire,Rose Gold-tone,Arabic Numeral,46.0,30.0,1,-1
Stainless Steel,Stainless Steel with 18kt Yellow Gold Rolex Oyster,Solid,18kt Yellow Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Index,28.0,100.0,2,-1
18kt Yellow Gold,18kt Yellow Gold President,Solid,18kt Yellow Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold,Diamond,31.0,100.0,3,2
Stainless Steel,Stainless Steel Rolex Oyster,Solid,Stainless Steel,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,34.0,100.0,2,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Luminous Silver-tone,Index,32.0,50.0,0,-1
Stainless Steel,Stainless Steel,Solid,Stainless Steel with an inlaid Blue Ring,Revue Thommen,MENS,Automatic,Dive,12.65,Scratch Resistant Sapphire,Luminous Silver-tone,Dot,42.0,300.0,0,-1
18kt Yellow Gold,Leather,Solid,Diamond Set 18kt Yellow Gold,Chopard,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-tone,Roman Numeral,40.0,94.38815128863104,2,0
18kt Everose Gold,18kt Everose Gold Rolex Pearlmaster,Solid,12 Diamond Set,Rolex,WOMENS,Automatic,Luxury,10.0,Scratch Resistant Sapphire,Rose Gold-Tone,Roman Numeral,29.0,100.0,2,-1
Stainless Steel,Leather,Solid,Stainless Steel,Longines,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,37.0,100.0,1,-1
Stainless Steel,Stainless Steel and 18K Everose Gold Rolex Oyster,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Everose Gold,Index,28.0,100.0,2,-1
Stainless Steel,Vegan Velour Remborde Velvet,Transparent,Stainless Steel,Nomos,WOMENS,Hand Wind,Luxury,6.5,Scratch Resistant Sapphire,Rhodium-plated and Yellow,Arabic Numeral-Index,29.0,30.0,1,-1
Stainless Steel,Genuine Leather,Transparent,Stainless Steel,Heritor,MENS,Automatic,Casual,11.0,Scratch Resistant Mineral,Silver-tone,Arabic Numeral & Index,44.0,50.0,0,-1
950 Palladium,Rubber,Skeleton Transparent Exhibition See Through,Ceramic,Carl F. Bucherer,MENS,Automatic,Luxury,16.0,Scratch Resistant Sapphire,Silver-tone,Index,46.0,50.0,3,-1
Stainless Steel,NATO Nylon,Solid,Stainless Steel showing Tachymeter Markings,Certina,MENS,Quartz,Sport,11.68,Scratch Resistant Sapphire,Luminous Silver-tone,Index,41.0,100.0,0,-1
Stainless Steel,Leather,Solid,Stainless Steel,Hamilton,MENS,Quartz,Casual,12.13,Scratch Resistant Sapphire,Luminous Silver-tone Dauphine-style shape,Index,42.0,100.0,0,-1
Stainless Steel,Leather,Transparent,Stainless Steel,Armand Nicolet,MENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Blue,Index,43.0,100.0,0,-1
Alloy,Alloy,Solid,Alloy with an inlad Black and Red (Coke) Ring,Breed,MENS,Quartz,Casual,11.0,Scratch Resistant Mineral,Luminous Silver-tone,Dot,46.0,50.0,0,-1
Stainless Steel,Stainless Steel,Transparent,Stainless Steel with a Black Ring,Seiko,MENS,Automatic,Sport,13.0,Scratch Resistant Hardlex,Luminous Yellow Gold-tone,Dot,42.0,100.0,0,-1
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Tissot,MENS,Automatic,Casual,9.8,Scratch Resistant Sapphire,Blue,Roman Numeral,39.0,30.0,0,-1
18kt White Gold,18kt White Gold Rolex President,Solid,18kt White Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index and Roman Numeral,40.0,100.0,3,0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Gv2 By Gevril,MENS,Automatic,Luxury,12.5,Scratch Resistant Sapphire,Yellow Gold-tone,Index,40.0,50.0,1,-1
Alloy,Alloy,Solid,Alloy,Stuhrling Original,MENS,Quartz,Sport,10.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,38.299275680421424,100.0,0,-1
Stainless Steel,Leather,Solid,Stainless Steel,Gevril,WOMENS,Quartz,Luxury,7.5,Scratch Resistant Sapphire,Silver-tone,Diamond,36.0,50.0,0,-1
18kt Yellow Gold,18kt Yellow Gold President,Solid,18kt Yellow Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Index,40.0,100.0,3,11
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Hamilton,MENS,Automatic,Casual,15.23,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,42.0,100.0,1,-1
Alloy,Stainless Steel,Solid,Alloy,Stuhrling Original,WOMENS,Quartz,Dress,8.0,Scratch Resistant Mineral,Rose Gold-tone,Diamond,29.0,50.0,0,-1
316L Surgical-Quality Stainless Steel,Silicone,Solid,Stainless Steel,Shield,MENS,Quartz,Dive,15.0,Scratch Resistant Mineral,Silver-tone,Index,44.0,200.0,0,-1
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,39.0,100.0,1,-1
Alloy,Stainless Steel,Solid,Alloy,Stuhrling Original,WOMENS,Quartz,Fashion,9.0,Scratch Resistant Mineral,Silver-tone,Index,31.0,50.0,0,-1
Stainless Steel,Silicone,Solid,Stainless Steel,Fossil,MENS,Quartz,Casual,13.0,Scratch Resistant Mineral,Black,Index,45.0,50.0,0,-1
Stainless Steel,Stainless Steel,Solid,Diamond Set Stainless Steel,Vacheron Constantin,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,33.0,50.0,2,-1
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Mido,MENS,Automatic,Dress,9.1,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,38.0,50.0,0,-1
18kt Rose Gold,Leather,Transparent,18kt Rose Gold,Harry Winston,MENS,Hand Wind,Luxury,10.9,Scratch Resistant Sapphire,18kt Rose Gold,"Arabic Numeral, Index",41.0,30.0,2,-1
Titanium,(Calfskin) Leather,Transparent,Titanium with an inlaid Blue Ceramic Ring,Blancpain,MENS,Automatic,Luxury,13.7,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,42.0,30.0,2,-1
