Price,CASE_MATERIAL,CASE_SHAPE,CASE_BACK,BAND_MATERIAL,BAND_TYPE,BAND_COLOR,CLASP,DIAL_COLOR,TYPE,CRYSTAL,HANDS,DIAL_MARKERS,SECOND_MARKERS,BEZEL,BEZEL_COLOR,BEZEL_MATERIAL,BRAND,COLLECTION_NAME,GENDER,MODEL,MOVEMENT,ENGINE,CALENDAR,FUNCTIONS,WATCH_FEATURES,WATCH_STYLE,CASE_DIAMETER,WATER_RESISTANCE,CASE_THICKNESS
239.0,Stainless Steel,Round,Solid,Leather NATO,Strap,Green,Tang,Black,Analog,Scratch Resistant Mineral,Luminous Silver-tone,Arabic Numeral,24 Hour Markers. Minute Markers around the outer rim,Fixed,Grey Ion-plated,Stainless Steel,Bulova,Hack,Mens,98A255,Automatic,,,"Hour, Minute, Second","Analog, Leather, Stainless Steel",Military,38.0,30.0,13.45
204.0,Stainless Steel,Round,Transparent,Leather,Strap,Black,Buckle,White,Analog,Scratch Resistant Mineral,Blue,Index-Roman Numeral,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Orient,Bambino,Mens,RA-AP0104S30B,Automatic,Orient Calibre F6222,Date display at the 3 o'clock position,"Date, Hour, Minute, Small Second","Analog, Leather, Stainless Steel",Casual,38.0,30.0,
184.0,Stainless Steel,Round,Solid,Nubuck Leather,Strap,Beige,Buckle,White,Analog,Scratch Resistant Mineral,Blue,Index-Roman Numeral,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Orient,Classic,Unisex,RA-WK0006S10B,,Orient Calibre VS213,,"Hour, Minute, Second","Analog, Solar, Leather, Stainless Steel",Casual,38.0,30.0,10.5
66.12,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over with Safety Release,Green,Analog,Scratch Resistant Mineral,Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Citizen,,Mens,BI1031-51Z,Quartz,Citizen Caliber 1112,Date display at the 6 o'clock position,"Date, Hour, Minute, Second","Stainless Steel, Analog",Dress,42.0,100.0,
2875.0,Stainless Steel,Round,Transparent,Stainless Steel,Bracelet,Silver-tone,Deployment with Push Button Release,Black,Analog,Scratch Resistant Sapphire,Luminous Silver-tone,Index,Arabic Numeral Minute Markers (at 10 minute intervals). Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Tag Heuer,Carrera,Mens,WBN2010.BA0640,Automatic,Tag Heuer Calibre 5,Day of the Week and Date display at the 3 o'clock position,"Date, Day, Hour, Minute, Second","Analog, Stainless Steel",Luxury,41.0,100.0,
144.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Deployment with Push Button Release,Blue,Analog,Scratch Resistant Mineral,Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Citizen,,Mens,BM7630-80L,Eco-Drive,Citizen Caliber Eco-Drive E111,Date display at the 3 o'clock position,"Date, Hour, Minute, Second, Solar-powered","Stainless Steel, Solar, Analog",Sport,41.0,100.0,9.7
339.0,Stainless Steel,Round,Solid,BENEBiOL™ PU,,Black,Buckle,Red Guradation,,Scratch Resistant Sapphire,Silver-tone,Index,Minute Markers around the outer rim,,Black,Stainless Steel,Citizen,Promaster Dive,Mens,BN1024-01Z,Eco-Drive,Citizen Caliber E365,Date display at the 4 o'clock position,"Date, Hour, Minute, Second",Stainless Steel,Dive,,,
404.0,Stainless Steel,Round,Transparent See Through,Stainless Steel,Bracelet,Silver-tone,Deployment with Push Button Release,Ice Blue,Analog,Scratch Resistant Sapphire,Silver-tone,Index-Roman Numeral,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Orient,Contemporary,Unisex,RE-AU0109L00B,Automatic,Orient Calibre F6N43,Date display at the 3 o'clock position,"Date, Hour, Minute, Second, Power Reserve Indicator","Analog, Power Reserve Indicator, Stainless Steel",Casual,38.0,100.0,
860.4,Titanium,Round,Transparent,Titanium,Bracelet,Silver-tone,Fold Over with Safety Release,Blue,Analog,Scratch Resistant Sapphire,Black,Arabic Numeral,Minute Markers around the outer rim,Fixed,Silver-tone,Titanium,Hamilton,Khaki Field,Mens,H70205140,Automatic,Hamilton Calibre H-10,,"Hour, Minute, Second","Analog, Titanium",Sport,38.0,100.0,11.68
214.0,Stainless Steel,Round,Solid,Leather NATO,Strap,Black,Tang,Ivory,Analog,Scratch Resistant Mineral,Luminous Black,Arabic Numeral,24 Hour markers. Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Bulova,Hack,Mens,96A246,Automatic,,,"Hour, Minute, Second","Analog, Leather, Stainless Steel",Military,38.0,30.0,13.45
555.0,Stainless Steel,Round,Transparent See Through,Stainless Steel,Bracelet,Silver-tone,Butterfly,Black,Analog,Scratch Resistant Sapphire,Silver-tone,Index,Minute Markers around the outer rim,Fixed,Black,Mineral,Tissot,T-Sport,Mens,T1494071105100,Automatic,,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Stainless Steel, Analog",,38.0,100.0,11.18
899.0,Titanium,Round,Solid,Rubber,Strap,Black,Tang,Black,Analog-Digital,Scratch Resistant Sapphire,Black,Index,Minute Markers around the outer rim,Uni-directional Rotating,Black PVD,Ceramic,Tissot,T-Touch Connect Solar,Mens,T121.420.47.051.03,Quartz,ETA Caliber E32.001,Perpetual Calendar,"Perpetual Calendar, Chronograph, Alarm, Month, Date, Day, GMT, Second Time Zone, Hour, Minute, Second, Bluetooth, Thermometer, Altitude Indicator, Barometer, Compass, Memory, Solar-powered","Digital, Analog, GMT, Bluetooth, Month, Solar, Thermometer, Time Zone, Alarm, Chronograph, Compass, Titanium, Rubber, Ceramic, Perpetual",Sport,47.0,100.0,
164.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over with Safety Release,Black,Analog,Sapphire Coated,Luminous Silver-tone,Dot,Minute Markers around the outer rim,Uni-directional Rotating,Silver-tone,Stainless Steel with a Blue and Red (Pepsi) Ring,Mathey-Tissot,Mathy Vintage GMT,Mens,H903AR,Quartz,Ronda Caliber 515.24H AG2,Date display at the 3 o'clock position,"Date, Hour, Minute, Second, GMT","Analog, GMT, Stainless Steel",Casual,42.0,100.0,10.0
289.0,Stainless Steel,Tonneau,Solid,Rubber,Strap,Black,Tang,Black,Analog,Scratch Resistant Sapphire,Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Tissot,PRX,Mens,T137.410.17.051.00,Quartz,ETA Caliber F06.115,Date display at the 3 o'clock position,"Date, Hour, Minute, Second, Battery EOL Indicator","Analog, Rubber, Stainless Steel",Casual,40.0,100.0,10.4
839.5,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Deployment,Blue,Analog,Scratch Resistant Sapphire,Luminous Silver-tone Snowflake-shape,Dot,"Arabic Numerals mark the 6, 9 and 12 o'clock positions. Minute Markers around the outer rim",Uni-directional Rotating Coin Edge,Blue Count-Up Elapsed Time Top Ring,Stainless Steel,Longines,HydroConquest,Mens,L3.740.4.96.6,Quartz,Longines Calibre L157,Date display at the 3 o'clock position,"Date, Hour, Minute, Second, E.O.L. Indicator","Analog, Stainless Steel",Dive,41.0,300.0,11.9
79.99,Stainless Steel,Round,Solid Engraved with Bridge Logo,Leather,Strap,Taupe,Tang,Blue,Analog,Sapphitek,Luminous Gunmetal,Arabic Numeral / Index,Minute Markers around the outer rim,Fixed,Gunmetal Ion-plated,Stainless Steel,Brooklyn Watch Co.,Bedford Brownstone II,Mens,307-BLU-5,Quartz,Miyota Caliber JS05,Date display at the 4 o'clock position,"Chronograph, Day, Hour, Minute, Second","Analog, Leather, Stainless Steel, Chronograph",Sport,44.0,100.0,12.65
212.0,Stainless Steel,Round,,Stainless Steel,Bracelet,Silver-tone,Fold Over with Safety Release,Blue,Analog,Scratch Resistant Sapphire,Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Mathey-Tissot,Zeus,Mens,H118ATABU,Automatic,,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Stainless Steel, Analog",Casual,41.0,50.0,12.0
119.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over,Green,Analog,Scratch Resistant Mineral,Luminous Silver-tone,Arabic Numeral and Dot,Minute Markers around the outer rim,Uni-directional Rotating,Silver-tone,Stainless Steel with Green Aluminum,Invicta,NFL,Mens,30280,Quartz,Hattori Caliber VD53,Date display between the 4 and 5 o'clock positions,"Chronograph, Date, GMT, Second Time Zone, Hour, Minute, Second","Analog, GMT, Stainless Steel, Chronograph, Time Zone",Sport,52.0,200.0,20.0
5125.0,Stainless Steel,Round,Transparent,Rubber,Strap,Blue,Deployment,Blue,Analog,Scratch Resistant Sapphire,Luminous Rhodium-plated,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Omega,Seamaster,Mens,522.12.41.21.03.001,Automatic,Omega Calibre 8900,Date display at the 6 o'clock position,"Date, Hour, Minute, Second, Co-Axial Escapement, Chronometer","Analog, Chronometer, Rubber, Stainless Steel",Luxury,41.0,150.0,
1149.0,Stainless Steel,Round,Transparent,Stainless Steel,Bracelet,Two-tone (Silver-tone and Rose Gold PVD),Fold Over with Push Button Release,Silver,Analog,Scratch Resistant Mineral,Luminous Rose Gold-tone,Index,Minute Markers around the outer rim,Fixed,Rose Gold PVD,Stainless Steel,Rado,Centrix,Womens,R30954123,Automatic,ETA Caliber 2671,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Gold, Stainless Steel",Casual,28.0,30.0,9.0
159.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over,Black and White,Analog,Scratch Resistant Mineral,Silver-tone,Arabic Numeral,Minute Markers around the outer rim,Uni-directional Rotating,Black and Steel,Stainless Steel and Aluminum,Invicta,NFL,Mens,30279,Quartz,Hattori Caliber VD53,Date display between 4 and 5 o'clock position,"Chronograph, Date, GMT, Second Time Zone, Hour, Minute, Second","Analog, GMT, Stainless Steel, Chronograph, Time Zone",Sport,52.0,200.0,20.0
1210.0,Stainless Steel,Round,Transparent,Stainless Steel with Black Ceramic Inserts,Bracelet,Silver-tone,Fold Over with Push Button Release,Black,Analog,Scratch Resistant Sapphire,Steel,,"Diamond-set Index Markers at the 3, 6, 9 and 12 o'clock positions. The Rado name appears below the 12 o'clock position",Fixed,Black,Ceramic,Rado,Centrix,Womens,R30942702,Automatic,Rado Calibre 561 (ETA 2671),Date display at the 3 o'clock position,"Hours, Minutes, Seconds, Hours","Analog, Ceramic, Stainless Steel, Diamond",Fashion,28.0,30.0,9.0
999.0,Stainless Steel,Round,Transparent,Stainless Steel,Bracelet,Silver-tone,Fold Over,Blue,Analog,Scratch Resistant Sapphire,Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Longines,Flagship,Womens,L4.274.4.92.6,Automatic,Longines Calibre L595,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Luxury,26.0,30.0,8.0
33.68,Metal,Round,Solid,Alloy,Bracelet,Two-tone (Silver-tone and Yellow Gold-tone),Fold Over,Tonal,Analog,Scratch Resistant Mineral,Yellow Gold-tone,Crystal-set Index,"Roman Numerals appear at the 3, 6, 9 and 12 o'cllock positions",Fixed,Yellow Gold-tone,Metal,Ellen Tracy,,Womens,ET5189TTG,Quartz,,,"Hour, Minute, Second","Analog, Gold",Dress,35.0,30.0,
51.99,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Two-tone (Silver-tone and Yellow Gold-tone),Fold Over,Blue,Analog,Scratch Resistant Mineral,Luminous Yellow Gold-tone,Dot,Minute Markers around the outer rim,Uni-directional Rotating,Yellow Gold-tone,Stainless Steel,Invicta,Pro Diver,Mens,29942,Quartz,Hattori Caliber PC32A,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Gold, Stainless Steel",Casual,37.0,200.0,12.0
54.99,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Yellow Gold-tone,Fold Over,Blue,Analog,Scratch Resistant Mineral,Luminous Yellow Gold-tone Breguet-style,Dot,Minute Markers around the outer rim,Uni-directional Rotating,Yellow Gold-tone,Stainless Steel,Invicta,Pro Diver,Mens,29940,Quartz,Hattori Caliber PC32A,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Gold, Stainless Steel",Casual,37.0,200.0,12.0
22000.0,Stainless Steel,Round,Solid,Stainless Steel and 18kt Yellow Gold Rolex Jubilee,Bracelet,Silver-tone,Concealed Crown,Mother of Pearl,Analog,Scratch Resistant Sapphire,Yellow Gold,Diamond,,Fixed,,18kt Yellow Gold set with Diamonds,Rolex,Datejust,Womens,116243MDJ,Automatic,Rolex Calibre 3135,Date display at the 3 o'clock position,"Date, Hour, Minute, Second, Chronometer",Diamond,Luxury,36.0,100.0,
11250.0,Stainless Steel,Round,Transparent,Canvas (Rubber Backed),Strap,Black,Tang,Grey,Analog,Scratch Resistant Sapphire,Luminous Silver-tone,Index,Date Scale around an inner ring. Minute Markers around the outer rim,Uni-directional Rotating,Silver-tone,Stainless Steel with a Black Ceramic Ring,Blancpain,Fifty Fathoms,Mens,5054-1110-B52A,Automatic,Blancpain Calibre 6654,Day of the Week and Month dispays below the 12 o'clock positions,"Full Calendar, Moon Phase, Month, Date, Day, Hour, Minute, Second","Analog, Month, Ceramic, Rubber, Stainless Steel, Moon Phase",Dive,43.0,300.0,13.9
1195.0,Stainless Steel,Round,Transparent,Stainless Steel,Bracelet,Silver-tone,Fold Over with Push Button Release,Silver,Analog,Scratch Resistant Sapphire,Luminous Silver-tone,Index,Arabic Numeral marks the 12 o'clock position. Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Longines,Saint-Imier Collection,Womens,L2.263.4.72.6,Automatic,Longines Calibre L595,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Dress,26.0,30.0,8.0
1624.0,Ceramic,Round,Solid,Ceramic,Bracelet,Black,Deployment with Push Button Release,Black,Analog,Scratch Resistant Sapphire,Silver-tone Skeleton,,"Diamonds mark the 3, 6, 9 and 12 o'clock positions",Fixed,Black,Ceramic,Rado,True Thinlin,Womens,R27742712,Quartz,Rado Calibre 420,,"Hour, Minute","Analog, Ceramic, Diamond",Casual,30.0,30.0,
15500.0,18kt Rose Gold,Round,Skeleton,Alligator Leather,Strap,Brown,Tang,Beige,Analog,Scratch Resistant Sapphire,Rose Gold-tone Dauphine-style shape,Stick,Minute Markers around the outer rim,Fixed,18kt Rose Gold,80 Diamond Set (0.57 ct),Jaeger LeCoultre,Master Ultra Thin,Mens,Q1362501,Automatic,Jaeger LeCoultre Calibre JLC 925,Date sub-dial with moonphase,"Moonphase, Date, Hour, Minute, Second","Alligator Leather, Analog, Gold, Leather, Diamond",Luxury,39.0,50.0,9.85
1950.0,Stainless Steel,Round,Transparent,Stainless Steel,Bracelet,Two-tone (Silver-tone and18kt Rose Gold Cap ),Triple Fold Over with Safety Release,White Mother of Pearl,Analog,Scratch Resistant Sapphire,Blue,Diamond,Minute Markers around the outer rim,Fixed,18kt Rose Gold Cap,Stainless Steel,Longines,Record,Womens,L2.321.5.87.7,Automatic,Longines Calibre L592.4,Date display at the 3 o'clock position,"Date, Hour, Minute, Second, Chronometer","Analog, Chronometer, Gold, Stainless Steel, Diamond",Dress,30.0,30.0,
159.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over,Brown,Analog,Scratch Resistant Mineral,Luminous Silver-tone,Arabic Numeral and Dot,Minute Markers around the outer rim,Uni-directional Rotating,,Stainless Steel with Brown Aluminum,Invicta,NFL,Mens,30262,Quartz,Hattori Caliber VD53,Date display between the 4 and 5 o'clock positions,"Chronograph, Date, GMT, Second Time Zone, Hour, Minute, Second","Analog, GMT, Stainless Steel, Chronograph, Time Zone",Sport,52.0,200.0,20.0
3795.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Deployment,Black,Analog,Scratch Resistant Mineral,Silver-tone,Index,Minute Markers around the outer rim,Uni-Directional Rotating,Black and Yellow,Stainless Steel,IWC,Aquatimer,Mens,IW376701,Automatic,IWC Calibre 79320,Automatic Day/Date at the 3 o'clock position,"Chronograph, Date, Day, Hour, Minute, Small Second","Analog, Stainless Steel, Chronograph",Sport,44.0,120.0,15.0
102.99,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Two-tone (Yellow Gold-tone and Rose Gold-tone),Deployment,Gold,Analog,Flame Fusion,Rose Gold-tone Arrow-shaped,Dot,Minute Markers around the outer rim,Uni-directional Rotating,Rose Gold-pated,Stainless Steel,Invicta,Pro Diver,Mens,16039,Automatic,SII Caliber NH35A,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Gold, Stainless Steel",Dive,47.0,300.0,17.0
101.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Two-tone (Silver-tone and Yellow Gold-tone),Fold Over,White,Analog,Scratch Resistant Sapphire,Luminous Yellow Gold-tone Leaf-style shape,Index,Arabic Numeral appears at the 12 o'clock positions. Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Mathey-Tissot,Urban,Womens,D411MBI,Quartz,Ronda Caliber 585 h6,Date display at the 6 o'clock position,"Date, Hour, Minute, Second","Analog, Gold, Stainless Steel",Dress,30.0,50.0,4.0
619.0,Stainless Steel,Round,Transparent,Stainless Steel,Bracelet,Silver-tone,Fold Over with Push Button Release,Anthracite,Analog,Scratch Resistant Sapphire,Silver-tone,Index,Roman Numeral appears at the 12 o'clock position. Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Mido,Baroncelli III,Mens,M0274261108800,Automatic,Mido Calibre 80 (base ETA C07.651),Date display above the 6 o'clock position,"Big Date, Hour, Minute, Second","Analog, Stainless Steel",Luxury,40.0,30.0,10.38
66.99,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over with Safety Release,Pink,Analog,Scratch Resistant Mineral,Luminous Silver-tone,Roman Numeral,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Invicta,Angel,Womens,14360,Quartz,Ronda Caliber 515,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Casual,40.0,200.0,11.0
12375.0,Stainless Steel Case,Round,Solid,Rubber,Strap,Black,Deployment with Push Button Release,Black,Analog,Scratch Resistant Sapphire,Luminous Silver-tone,Alternating Arabic Numeral and Index,Minute Markers around the outer rim,Fixed,,Stainless Steel set with Diamonds,Hublot,Big Bang,Womens,361.SX.1270.RX.1704,Quartz,Caliber HUB 2900,,"Hour, Minute, Second","Analog, Rubber, Stainless Steel, Diamond",Luxury,38.0,100.0,
47.0,Composite Metal,Round,Solid,Leather,Strap,Red (Floral Embossed),Tang,Silver (Flower Print),Analog,Scratch Resistant Mineral,Gold-tone Leaf-style,Diamond,,Fixed,Gold-tone,Composite Metal,August Steiner,,Womens,AS8242PK,Quartz,,,"Hour, Minute","Analog, Gold, Leather, Diamond",Fashion,36.0,30.0,7.0
4295.0,Stainless Steel,Round,Solid,Stainless Steel with 18kt Rose Gold Links,Bracelet,Silver-tone,Hidden Fold Over,Ivory Silvery,Analog,Scratch Resistant Sapphire,Rose Gold-tone Dauphine-style,Roman Numeral and Dot,Minute Markers around the outer rim,Fixed,,18kt Rose Gold,Omega,De Ville,Mens,424.20.40.20.02.003,Automatic,Omega Calibre 2500,Date display at the 3 o'clock position,"Date, Hour, Minute, Second, Co-Axial Escapement, Chronometer","Analog, Chronometer, Gold, Stainless Steel",Luxury,39.0,30.0,
1775.0,Stainless Steel,Round,Transparent,Stainless Steel,Bracelet,Silver-tone,Triple Safety Fold Over,Blue,Analog,Scratch Resistant Sapphire,Silver-tone Leaf-style shape,Diamond,Minute Markers around the outer rim,Fixed domed,Silver-tone,Stainless Steel,Longines,Master Collection,Mens,L2.628.4.97.6,Automatic,Longines Calibre L619/888,Date display at the 6 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel, Diamond",Dress,38.0,30.0,9.5
42.58,Composite Metal,Round,Solid,Alloy,Bracelet,Silver-tone,Fold Over,Pink,Analog,Scratch Resistant Mineral,Silver-tone Dauphine-style,Index,Arabic Numerals appear atthe 6 and 12 o'clock positions,Fixed,Silver-tone,Composite Metal set with Crystals,August Steiner,,Womens,AS8135SSPK,Quartz,,,"Hour, Minute, Second",Analog,Fashion,29.0,10.0,9.0
89.75,Stainless Steel,Round,Transparent,Stainless Steel,Bracelet,Gold-tone,Deployment with Fold Over,White Mother of Pearl,Analog,Mineral,Luminous Gold-tone Breguet-style,Dot,Minute Markers around the outer rim,Uni-directional Rotating,Gold-tone,Stainless Steel,Invicta,Pro Diver,Mens,28694,Automatic,SII Caliber NH35A,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Gold, Stainless Steel",Casual,40.0,200.0,14.0
81.25,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over,Blue,Analog,Mineral,Luminous Silver-tone,Dot,Minute Markers around the outer rim,Uni-directional Rotating,Silver-tone,Stainless Steel with a Blue Aluminum Ring,Invicta,Pro Diver,Mens,28766,Quartz,Hattori Caliber PC32,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Dive,50.0,300.0,14.0
19125.0,Stainless Steel,Round,Solid,Stainless Steel and 18kt Everose Gold Rolex Jubile,Bracelet,Two-tone (Silver-tone and Rose Gold-tone),Oysterlock,Mother of Pearl,Analog,Scratch Resistant Sapphire,Rose Gold,Diamond,Minute Markers around the outer rim,Fixed,,18kt Everose Gold,Rolex,Datejust,Mens,126301 MDO,Automatic,Rolex Calibre 3235,Date display at the 3 o'clock position,"Date, Hour, Minute, Second, Chronometer","Analog, Chronometer, Gold, Stainless Steel, Diamond",Luxury,41.0,100.0,
13995.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Hidden Fold Over,Silver,Analog,Scratch Resistant Sapphire,Luminous,Index,"Roman Numerals Mark the 3, 6, 9, and 12 O'clock Position",Fixed,Silver-tone,Stainless Steel set with Diamonds,Chopard,IMPERIALE,Womens,388531-3004,Automatic,Sellita Calibre SW300,Date display at the 3 o'clock position,"Hours, Minutes, Seconds, Date","Analog, Stainless Steel, Diamond",Luxury,40.0,50.0,9.35
43.23,Composite Metal,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over,Pink,Analog,Scratch Resistant Mineral,Silver-tone,Swarovski Crystal,,Fixed,Silver-tone,Composite Metal set with Swarovski Crystals,Akribos Xxiv,,Womens,AK1085PK,Quartz,,,"Hour, Minute, Second","Stainless Steel, Analog",Fashion,32.0,30.0,7.5
849.0,Stainless Steel,Round,Transparent,(Alligator) Leather,Strap,Pink,Fold Over,Pink Mother of Pearl,Analog,Scratch Resistant Sapphire,Luminous Silver-tone Leaf-style,Index,"Roman Numerals mark the 3, 9 and 12 o'clock positions. Minute Markers around the outer rim",Fixed,Silver-tone,Stainless Steel,Armand Nicolet,M03-2,Womens,A153AAA-AS-P882RS8,Automatic,Sellita Caliber SW280,,"Moon Phase, Hour, Minute, Second","Alligator Leather, Analog, Leather, Stainless Steel, Moon Phase",Luxury,34.0,100.0,11.8
144.99,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Two-tone (Silver-tone and Yellow Gold PVD),Fold Over,Gold-tone Mirror,Analog,Scratch Resistant Sapphire,Gold-tone,Index,,Fixed,Silver-tone,Stainless Steel,Mathey-Tissot,Mandy,Womens,D1091BDI,Quartz,Ronda Caliber 762,,"Hour, Minute","Analog, Gold, Stainless Steel",Dress,32.0,50.0,3.0
1540.0,Stainless Steel,Round,Transparent,Stainless Steel,Bracelet,Two-tone (Silver-tone and Yellow Gold PVD),Fold Over with Push Button Release,Champagne,Analog,Scratch Resistant Sapphire,Yellow Gold-tone Sword-shaped,Diamond,,Fixed,Yellow Gold PVD,Stainless Steel,Longines,Flagship,Mens,L4.974.3.37.7,Automatic,Longines Calibre L619/888,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Gold, Stainless Steel, Diamond",Luxury,38.0,30.0,8.2
3650.0,Stainless Steel,Square,Solid,Stainless Steel Milanese Mesh,Bracelet,Silver-tone,Fold Over with Safety Release,Pink,Analog,Scratch Resistant Sapphire,Silver-tone,Dot,,Fixed,Silver-tone,Diamond Set,Bell And Ross,Pink Diamond Eagle,Womens,BRS-EP-ST-LGD/SST,Quartz,Bell and Ross Calibre BR-CAL.102,,"Hour, Minute","Analog, Stainless Steel, Diamond",Luxury,39.0,100.0,
79.99,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over with Push Button Release,Mother of Pearl (Multi-Layered),Analog,Scratch Resistant Mineral,Silver Leaf-style,,No Markers,Fixed,Silver-tone,Stainless Steel set with Crystals,Lucien Piccard,Lauren,Womens,LP-28021-11MOP,Quartz,Miyota Caliber 2025,,"Hour, Minute","Analog, Stainless Steel",Casual,31.0,50.0,9.7
69.99,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Rose Gold-tone,Fold Over with Push Button Release,Pink Mother of Pearl (Multi-Layered),Analog,Mineral,Rose Gold-tone,,No Markers,Fixed,Rose Gold-tone,Stainless Steel,Lucien Piccard,Ava,Womens,LP-28022-RG-99MOP,Quartz,Miyota Caliber 2035,,"Hour, Minute, Second","Analog, Gold, Stainless Steel",Casual,32.0,50.0,8.5
8450.0,Brushed Titanium,Round,Transparent,Rubber with a Blue Alligator Leather Inlay,Strap,Black,Titanium Double Fold Over,Blue Skeletal,Analog,Scratch Resistant Sapphire,Luminous Silver-tone Rhodium-plated,Index,vMinute Markers. 1/100th Second Markers around the outer rim,Fixed,Grey,Brushed Titanium,Zenith,Defy El Primero 21,Mens,95.9002.9004/78.R584,Automatic,Zenith Calibre El Primero 9004,,"Chronograph, 1/100th of a Second, Hour, Minute, Small Second, Power Reserve Indicator","Alligator Leather, Analog, Power Reserve Indicator, Leather, Rubber, Titanium, Chronograph",Luxury,44.0,100.0,14.5
56950.0,18kt Rose Gold,Round,Transparent,(Alligator) Leather,Strap,Brown,Tang set with 27 Diamond (~0.21),Silvery Opaline,Analog,Scratch Resistant Sapphire,Rose Gold-tone Breguet-style,Arabic Numeral,Minute Markers around an inner ring. Tachymeter Scale around the outer rim,Fixed,18kt Rose Gold,18kt Rose Gold set with 72 Diamond Set (~0.78 ct),Patek Philippe,Complications,Womens,7150/250R-001,Hand Wind,Patek Philippe Calibre CH 29-535 PS,,"Chronograph, Tachymeter, Hour, Minute, Second","Alligator Leather, Analog, Gold, Leather, Chronograph, Diamond",Luxury,38.0,30.0,10.59
61.75,Plastic,Round,Solid,Silicone,Strap,White,Tang,Green,Analog,Plexiglass,White,Index,,Fixed,White,Plastic,Swatch,Grassneon,Unisex,SUOW166,Quartz,,,"Hour, Minute, Second","Analog, Plastic",Casual,41.0,30.0,9.85
75.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over with Push Button Release,Brown,Analog,Scratch Resistant Mineral,Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Mathey-Tissot,City Metal,Womens,D31186MAM,Quartz,Ronda Caliber 775,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Casual,28.0,30.0,3.0
